"name","teams","minutes","fifa","APM","AugAPM","AugAPMSE"
"Lucas Pezzini Leiva","Liverpool",2068,79,-0.0615095942376024,-0.00985548165588775,0.0953255752648042
"Wilfried Zaha","Crystal Palace",2607,77,-0.0517107496059314,-0.00986003530416968,0.0932988531874025
"Ben Watson","Watford",2889,71,-0.00426402806630615,-0.0102568129279932,0.0942848305113588
"Sebastian Larsson","Sunderland",614,74,-0.0165151124316658,-0.0103722855477048,0.0994005329884389
"José Luis Sanmartín Mato","Stoke City",1174,75,-0.0204959742954798,-0.0109371176718081,0.0946180495179108
"Rudy Gestede","Aston Villa",1815,73,0.00201070859277911,-0.0109442333325468,0.0935089859240223
"Craig Gardner","West Bromwich Albion",2151,75,-0.0363600765822811,-0.0110690591660437,0.0958607764199893
"Nabil Bentaleb","Tottenham Hotspur",188,75,-0.026137358877386,-0.0111220280414655,0.100347452683145
"Max Gradel","AFC Bournemouth",842,79,-0.0601645520581832,-0.0114815302431764,0.097108197501731
"Jose Holebas","Watford",993,77,-0.0501094588204815,-0.0124100802044504,0.097030678577239
"Harry Arter","AFC Bournemouth",1535,73,-0.0159692829044915,-0.0127806467795129,0.0946145451712478
"Sébastien Bassong","Norwich City",2942,75,-0.057630412424107,-0.0135572758857554,0.0941617049991992
"Vadis Odjidja-Ofoe","Norwich City",314,74,-0.0186032066616228,-0.0137428135411182,0.0980433943408865
"Jonathan Williams","Crystal Palace",14,72,0.000658450809903061,-0.0140916658369941,0.0980055294753059
"Matt Jarvis","West Ham United,Norwich City",1159,74,-0.0262070965883986,-0.0141537596888348,0.09503984116726
"Bafétimbi Gomis","Swansea City",1966,77,-0.0571918943613259,-0.0144429143760698,0.0948270510353035
"Fernando Reges","Manchester City",1813,79,-0.0427561234107726,-0.0145835118187072,0.0947223307315143
"Tony Hibbert","Everton",50,72,0.00272610930590674,-0.0150491226493818,0.100761613064834
